HouseholdID,Timestamp,Volume_m3,AmbientCO_ppm_Est,HourOfDay,MinuteOfHour,IsCooking,TimeSinceCookStart_min,StoveType_ICS,StoveType_TCS,CO_ppm_Lag1,CO_ppm_Lag2,CO_ppm_Lag5,CO_ppm_Lag10,CO_ppm
5,2018-12-15 17:39:00,8.0,1.0,17,39,1,3.0,0,1,8.8,9.2,1.9,1.2,11.7
5,2018-12-15 17:40:00,8.0,1.0,17,40,1,4.0,0,1,11.7,8.8,4.3,1.2,16.3
5,2018-12-15 17:41:00,8.0,1.0,17,41,1,5.0,0,1,16.3,11.7,7.4,1.2,16.3
5,2018-12-15 17:42:00,8.0,1.0,17,42,1,6.0,0,1,16.3,16.3,9.2,1.2,15.3
5,2018-12-15 17:43:00,8.0,1.0,17,43,1,7.0,0,1,15.3,16.3,8.8,1.5,14.4
5,2018-12-15 17:44:00,8.0,1.0,17,44,1,8.0,0,1,14.4,15.3,11.7,1.9,14.1
5,2018-12-15 17:45:00,8.0,1.0,17,45,1,9.0,0,1,14.1,14.4,16.3,4.3,12.6
5,2018-12-15 17:46:00,8.0,1.0,17,46,1,10.0,0,1,12.6,14.1,16.3,7.4,20.6
5,2018-12-15 17:47:00,8.0,1.0,17,47,1,11.0,0,1,20.6,12.6,15.3,9.2,26.6
5,2018-12-15 17:48:00,8.0,1.0,17,48,1,12.0,0,1,26.6,20.6,14.4,8.8,23.9
5,2018-12-15 17:49:00,8.0,1.0,17,49,1,13.0,0,1,23.9,26.6,14.1,11.7,21.2
5,2018-12-15 17:50:00,8.0,1.0,17,50,1,14.0,0,1,21.2,23.9,12.6,16.3,23.1
5,2018-12-15 17:51:00,8.0,1.0,17,51,1,15.0,0,1,23.1,21.2,20.6,16.3,24.5
5,2018-12-15 17:52:00,8.0,1.0,17,52,1,16.0,0,1,24.5,23.1,26.6,15.3,21.9
5,2018-12-15 17:53:00,8.0,1.0,17,53,1,17.0,0,1,21.9,24.5,23.9,14.4,21.7
5,2018-12-15 17:54:00,8.0,1.0,17,54,1,18.0,0,1,21.7,21.9,21.2,14.1,22.2
5,2018-12-15 17:55:00,8.0,1.0,17,55,1,19.0,0,1,22.2,21.7,23.1,12.6,22.3
5,2018-12-15 17:56:00,8.0,1.0,17,56,1,20.0,0,1,22.3,22.2,24.5,20.6,23.9
5,2018-12-15 17:57:00,8.0,1.0,17,57,1,21.0,0,1,23.9,22.3,21.9,26.6,23.9
5,2018-12-15 17:58:00,8.0,1.0,17,58,1,22.0,0,1,23.9,23.9,21.7,23.9,23.2
5,2018-12-15 17:59:00,8.0,1.0,17,59,1,23.0,0,1,23.2,23.9,22.2,21.2,21.5
5,2018-12-15 18:00:00,8.0,1.0,18,0,1,24.0,0,1,21.5,23.2,22.3,23.1,19.6
5,2018-12-15 18:01:00,8.0,1.0,18,1,1,25.0,0,1,19.6,21.5,23.9,24.5,19.1
5,2018-12-15 18:02:00,8.0,1.0,18,2,1,26.0,0,1,19.1,19.6,23.9,21.9,19.8
5,2018-12-15 18:03:00,8.0,1.0,18,3,1,27.0,0,1,19.8,19.1,23.2,21.7,21.6
5,2018-12-15 18:04:00,8.0,1.0,18,4,1,28.0,0,1,21.6,19.8,21.5,22.2,22.8
5,2018-12-15 18:05:00,8.0,1.0,18,5,1,29.0,0,1,22.8,21.6,19.6,22.3,22.7
5,2018-12-15 18:06:00,8.0,1.0,18,6,1,30.0,0,1,22.7,22.8,19.1,23.9,22.2
5,2018-12-15 18:07:00,8.0,1.0,18,7,1,31.0,0,1,22.2,22.7,19.8,23.9,19.1
5,2018-12-15 18:08:00,8.0,1.0,18,8,1,32.0,0,1,19.1,22.2,21.6,23.2,13.9
5,2018-12-15 18:09:00,8.0,1.0,18,9,1,33.0,0,1,13.9,19.1,22.8,21.5,10.4
5,2018-12-15 18:10:00,8.0,1.0,18,10,1,34.0,0,1,10.4,13.9,22.7,19.6,9.3
5,2018-12-15 18:11:00,8.0,1.0,18,11,1,35.0,0,1,9.3,10.4,22.2,19.1,8.7
5,2018-12-15 18:12:00,8.0,1.0,18,12,1,36.0,0,1,8.7,9.3,19.1,19.8,8.0
5,2018-12-15 18:13:00,8.0,1.0,18,13,1,37.0,0,1,8.0,8.7,13.9,21.6,7.2
5,2018-12-15 18:14:00,8.0,1.0,18,14,1,38.0,0,1,7.2,8.0,10.4,22.8,6.9
5,2018-12-15 18:15:00,8.0,1.0,18,15,1,39.0,0,1,6.9,7.2,9.3,22.7,6.4
5,2018-12-15 18:16:00,8.0,1.0,18,16,1,40.0,0,1,6.4,6.9,8.7,22.2,6.2
